"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number",,"Year Built"
"06","California","06001","Alameda","2010","74.35%","","429,425",,"Before 1980"
"06","California","06001","Alameda","2015","70.74%","","417,266",,"Before 1980"
"06","California","06001","Alameda","2020","67.76%","","410,452",,"Before 1980"
"06","California","06003","Alpine","2010","47.10%","","845",,"Before 1980"
"06","California","06003","Alpine","2015","44.48%","","801",,"Before 1980"
"06","California","06003","Alpine","2020","48.66%","","873",,"Before 1980"
"06","California","06005","Amador","2010","49.32%","","8,790",,"Before 1980"
"06","California","06005","Amador","2015","47.90%","","8,711",,"Before 1980"
"06","California","06005","Amador","2020","45.79%","","8,354",,"Before 1980"
"06","California","06007","Butte","2010","58.39%","","55,553",,"Before 1980"
"06","California","06007","Butte","2015","56.82%","","55,190",,"Before 1980"
"06","California","06007","Butte","2020","52.83%","","49,640",,"Before 1980"
"06","California","06009","Calaveras","2010","40.79%","","11,263",,"Before 1980"
"06","California","06009","Calaveras","2015","38.03%","","10,660",,"Before 1980"
"06","California","06009","Calaveras","2020","34.66%","","9,737",,"Before 1980"
"06","California","06011","Colusa","2010","60.33%","","4,691",,"Before 1980"
"06","California","06011","Colusa","2015","56.65%","","4,493",,"Before 1980"
"06","California","06011","Colusa","2020","55.82%","","4,551",,"Before 1980"
"06","California","06013","Contra Costa","2010","60.08%","","238,382",,"Before 1980"
"06","California","06013","Contra Costa","2015","57.81%","","234,120",,"Before 1980"
"06","California","06013","Contra Costa","2020","55.52%","","230,427",,"Before 1980"
"06","California","06015","Del Norte","2010","54.34%","","6,042",,"Before 1980"
"06","California","06015","Del Norte","2015","50.86%","","5,750",,"Before 1980"
"06","California","06015","Del Norte","2020","50.15%","","5,692",,"Before 1980"
"06","California","06017","El Dorado","2010","47.75%","","41,415",,"Before 1980"
"06","California","06017","El Dorado","2015","48.63%","","43,108",,"Before 1980"
"06","California","06017","El Dorado","2020","45.23%","","41,420",,"Before 1980"
"06","California","06019","Fresno","2010","56.07%","","173,926",,"Before 1980"
"06","California","06019","Fresno","2015","52.62%","","169,421",,"Before 1980"
"06","California","06019","Fresno","2020","50.92%","","169,748",,"Before 1980"
"06","California","06021","Glenn","2010","67.04%","","7,161",,"Before 1980"
"06","California","06021","Glenn","2015","62.63%","","6,822",,"Before 1980"
"06","California","06021","Glenn","2020","58.14%","","6,517",,"Before 1980"
"06","California","06023","Humboldt","2010","65.50%","","39,894",,"Before 1980"
"06","California","06023","Humboldt","2015","64.34%","","39,992",,"Before 1980"
"06","California","06023","Humboldt","2020","62.95%","","39,659",,"Before 1980"
"06","California","06025","Imperial","2010","48.64%","","26,691",,"Before 1980"
"06","California","06025","Imperial","2015","43.68%","","24,772",,"Before 1980"
"06","California","06025","Imperial","2020","38.25%","","22,129",,"Before 1980"
"06","California","06027","Inyo","2010","69.71%","","6,576",,"Before 1980"
"06","California","06027","Inyo","2015","64.20%","","6,100",,"Before 1980"
"06","California","06027","Inyo","2020","66.49%","","6,326",,"Before 1980"
"06","California","06029","Kern","2010","49.93%","","138,928",,"Before 1980"
"06","California","06029","Kern","2015","48.34%","","139,945",,"Before 1980"
"06","California","06029","Kern","2020","45.78%","","136,963",,"Before 1980"
"06","California","06031","Kings","2010","47.28%","","20,375",,"Before 1980"
"06","California","06031","Kings","2015","48.79%","","21,774",,"Before 1980"
"06","California","06031","Kings","2020","43.85%","","20,289",,"Before 1980"
"06","California","06033","Lake","2010","58.90%","","20,800",,"Before 1980"
"06","California","06033","Lake","2015","54.99%","","19,590",,"Before 1980"
"06","California","06033","Lake","2020","50.20%","","17,308",,"Before 1980"
"06","California","06035","Lassen","2010","59.85%","","7,616",,"Before 1980"
"06","California","06035","Lassen","2015","55.37%","","7,050",,"Before 1980"
"06","California","06035","Lassen","2020","54.93%","","7,012",,"Before 1980"
"06","California","06037","Los Angeles","2010","77.36%","","2,650,201",,"Before 1980"
"06","California","06037","Los Angeles","2015","75.25%","","2,616,319",,"Before 1980"
"06","California","06037","Los Angeles","2020","73.55%","","2,618,361",,"Before 1980"
"06","California","06039","Madera","2010","44.69%","","21,757",,"Before 1980"
"06","California","06039","Madera","2015","42.54%","","21,145",,"Before 1980"
"06","California","06039","Madera","2020","39.88%","","20,129",,"Before 1980"
"06","California","06041","Marin","2010","77.65%","","85,831",,"Before 1980"
"06","California","06041","Marin","2015","77.54%","","86,834",,"Before 1980"
"06","California","06041","Marin","2020","76.62%","","86,060",,"Before 1980"
"06","California","06043","Mariposa","2010","51.12%","","5,151",,"Before 1980"
"06","California","06043","Mariposa","2015","46.97%","","4,844",,"Before 1980"
"06","California","06043","Mariposa","2020","42.31%","","4,453",,"Before 1980"
"06","California","06045","Mendocino","2010","62.74%","","25,081",,"Before 1980"
"06","California","06045","Mendocino","2015","62.06%","","25,224",,"Before 1980"
"06","California","06045","Mendocino","2020","59.20%","","24,196",,"Before 1980"
"06","California","06047","Merced","2010","50.25%","","41,751",,"Before 1980"
"06","California","06047","Merced","2015","45.73%","","38,440",,"Before 1980"
"06","California","06047","Merced","2020","48.69%","","42,210",,"Before 1980"
"06","California","06049","Modoc","2010","68.81%","","3,532",,"Before 1980"
"06","California","06049","Modoc","2015","65.37%","","3,424",,"Before 1980"
"06","California","06049","Modoc","2020","60.96%","","3,206",,"Before 1980"
"06","California","06051","Mono","2010","62.72%","","8,657",,"Before 1980"
"06","California","06051","Mono","2015","56.44%","","7,891",,"Before 1980"
"06","California","06051","Mono","2020","51.02%","","7,190",,"Before 1980"
"06","California","06053","Monterey","2010","64.67%","","89,786",,"Before 1980"
"06","California","06053","Monterey","2015","63.86%","","89,277",,"Before 1980"
"06","California","06053","Monterey","2020","61.49%","","87,256",,"Before 1980"
"06","California","06055","Napa","2010","63.56%","","34,516",,"Before 1980"
"06","California","06055","Napa","2015","60.77%","","33,533",,"Before 1980"
"06","California","06055","Napa","2020","58.91%","","32,601",,"Before 1980"
"06","California","06057","Nevada","2010","46.97%","","24,350",,"Before 1980"
"06","California","06057","Nevada","2015","45.29%","","24,011",,"Before 1980"
"06","California","06057","Nevada","2020","42.56%","","22,944",,"Before 1980"
"06","California","06059","Orange","2010","64.22%","","669,284",,"Before 1980"
"06","California","06059","Orange","2015","62.30%","","663,269",,"Before 1980"
"06","California","06059","Orange","2020","60.12%","","662,092",,"Before 1980"
"06","California","06061","Placer","2010","34.86%","","52,003",,"Before 1980"
"06","California","06061","Placer","2015","33.24%","","51,983",,"Before 1980"
"06","California","06061","Placer","2020","30.33%","","50,381",,"Before 1980"
"06","California","06063","Plumas","2010","57.43%","","8,835",,"Before 1980"
"06","California","06063","Plumas","2015","52.35%","","8,206",,"Before 1980"
"06","California","06063","Plumas","2020","49.27%","","7,821",,"Before 1980"
"06","California","06065","Riverside","2010","34.82%","","272,654",,"Before 1980"
"06","California","06065","Riverside","2015","33.76%","","275,271",,"Before 1980"
"06","California","06065","Riverside","2020","31.63%","","267,332",,"Before 1980"
"06","California","06067","Sacramento","2010","56.27%","","310,608",,"Before 1980"
"06","California","06067","Sacramento","2015","53.45%","","299,490",,"Before 1980"
"06","California","06067","Sacramento","2020","51.26%","","293,705",,"Before 1980"
"06","California","06069","San Benito","2010","44.22%","","7,904",,"Before 1980"
"06","California","06069","San Benito","2015","41.33%","","7,455",,"Before 1980"
"06","California","06069","San Benito","2020","39.73%","","7,634",,"Before 1980"
"06","California","06071","San Bernardino","2010","49.26%","","340,525",,"Before 1980"
"06","California","06071","San Bernardino","2015","47.52%","","335,505",,"Before 1980"
"06","California","06071","San Bernardino","2020","46.53%","","335,664",,"Before 1980"
"06","California","06073","San Diego","2010","57.83%","","667,825",,"Before 1980"
"06","California","06073","San Diego","2015","54.69%","","645,753",,"Before 1980"
"06","California","06073","San Diego","2020","52.87%","","642,605",,"Before 1980"
"06","California","06075","San Francisco","2010","85.30%","","317,805",,"Before 1980"
"06","California","06075","San Francisco","2015","82.47%","","316,435",,"Before 1980"
"06","California","06075","San Francisco","2020","79.40%","","316,505",,"Before 1980"
"06","California","06077","San Joaquin","2010","52.51%","","121,365",,"Before 1980"
"06","California","06077","San Joaquin","2015","50.24%","","118,844",,"Before 1980"
"06","California","06077","San Joaquin","2020","47.11%","","115,508",,"Before 1980"
"06","California","06079","San Luis Obispo","2010","49.54%","","57,622",,"Before 1980"
"06","California","06079","San Luis Obispo","2015","48.36%","","57,458",,"Before 1980"
"06","California","06079","San Luis Obispo","2020","45.76%","","55,948",,"Before 1980"
"06","California","06081","San Mateo","2010","80.11%","","216,325",,"Before 1980"
"06","California","06081","San Mateo","2015","77.17%","","210,554",,"Before 1980"
"06","California","06081","San Mateo","2020","75.05%","","209,193",,"Before 1980"
"06","California","06083","Santa Barbara","2010","67.16%","","102,336",,"Before 1980"
"06","California","06083","Santa Barbara","2015","65.53%","","101,009",,"Before 1980"
"06","California","06083","Santa Barbara","2020","62.81%","","100,061",,"Before 1980"
"06","California","06085","Santa Clara","2010","68.05%","","426,234",,"Before 1980"
"06","California","06085","Santa Clara","2015","66.26%","","428,197",,"Before 1980"
"06","California","06085","Santa Clara","2020","62.74%","","419,674",,"Before 1980"
"06","California","06087","Santa Cruz","2010","70.92%","","73,761",,"Before 1980"
"06","California","06087","Santa Cruz","2015","68.08%","","71,507",,"Before 1980"
"06","California","06087","Santa Cruz","2020","65.62%","","69,440",,"Before 1980"
"06","California","06089","Shasta","2010","54.59%","","41,915",,"Before 1980"
"06","California","06089","Shasta","2015","50.92%","","39,607",,"Before 1980"
"06","California","06089","Shasta","2020","48.42%","","38,004",,"Before 1980"
"06","California","06091","Sierra","2010","69.84%","","1,577",,"Before 1980"
"06","California","06091","Sierra","2015","61.32%","","1,417",,"Before 1980"
"06","California","06091","Sierra","2020","60.80%","","1,421",,"Before 1980"
"06","California","06093","Siskiyou","2010","64.91%","","15,449",,"Before 1980"
"06","California","06093","Siskiyou","2015","59.55%","","14,292",,"Before 1980"
"06","California","06093","Siskiyou","2020","58.28%","","14,090",,"Before 1980"
"06","California","06095","Solano","2010","52.16%","","79,078",,"Before 1980"
"06","California","06095","Solano","2015","49.44%","","76,318",,"Before 1980"
"06","California","06095","Solano","2020","47.47%","","75,497",,"Before 1980"
"06","California","06097","Sonoma","2010","58.01%","","117,558",,"Before 1980"
"06","California","06097","Sonoma","2015","56.23%","","116,052",,"Before 1980"
"06","California","06097","Sonoma","2020","53.88%","","111,259",,"Before 1980"
"06","California","06099","Stanislaus","2010","51.29%","","91,078",,"Before 1980"
"06","California","06099","Stanislaus","2015","50.56%","","91,097",,"Before 1980"
"06","California","06099","Stanislaus","2020","49.40%","","90,026",,"Before 1980"
"06","California","06101","Sutter","2010","53.67%","","18,045",,"Before 1980"
"06","California","06101","Sutter","2015","54.28%","","18,489",,"Before 1980"
"06","California","06101","Sutter","2020","49.95%","","17,181",,"Before 1980"
"06","California","06103","Tehama","2010","56.07%","","14,992",,"Before 1980"
"06","California","06103","Tehama","2015","50.98%","","13,878",,"Before 1980"
"06","California","06103","Tehama","2020","50.68%","","13,998",,"Before 1980"
"06","California","06105","Trinity","2010","58.34%","","5,022",,"Before 1980"
"06","California","06105","Trinity","2015","61.08%","","5,357",,"Before 1980"
"06","California","06105","Trinity","2020","55.48%","","4,935",,"Before 1980"
"06","California","06107","Tulare","2010","54.05%","","74,936",,"Before 1980"
"06","California","06107","Tulare","2015","49.72%","","71,985",,"Before 1980"
"06","California","06107","Tulare","2020","48.16%","","72,277",,"Before 1980"
"06","California","06109","Tuolumne","2010","54.91%","","17,040",,"Before 1980"
"06","California","06109","Tuolumne","2015","53.72%","","16,848",,"Before 1980"
"06","California","06109","Tuolumne","2020","52.88%","","16,694",,"Before 1980"
"06","California","06111","Ventura","2010","62.27%","","173,988",,"Before 1980"
"06","California","06111","Ventura","2015","59.76%","","169,670",,"Before 1980"
"06","California","06111","Ventura","2020","58.36%","","168,900",,"Before 1980"
"06","California","06113","Yolo","2010","55.65%","","41,153",,"Before 1980"
"06","California","06113","Yolo","2015","51.72%","","39,353",,"Before 1980"
"06","California","06113","Yolo","2020","47.72%","","37,489",,"Before 1980"
"06","California","06115","Yuba","2010","55.30%","","15,126",,"Before 1980"
"06","California","06115","Yuba","2015","51.80%","","14,468",,"Before 1980"
"06","California","06115","Yuba","2020","47.58%","","13,624",,"Before 1980"
